Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-02-17T01:30:00+00:00;17;02;2023;2023-02-17;01:30;621711.035945;394492.5901;212556.732;57824.3882;1286584.746245
2023-02-17T10:00:00+00:00;17;02;2023;2023-02-17;10:00;847424.350519;617182.545;208341.919;61397.6833;1734346.497819
2023-02-18T20:30:00+00:00;18;02;2023;2023-02-18;20:30;1097658.185903;337551.3804;196128.8044;83176.1253;1714514.4960029998
2023-02-21T23:45:00+00:00;21;02;2023;2023-02-21;23:45;742149.121615;315790.8962;193368.5489;78032.9273;1329341.494015
2023-02-22T10:00:00+00:00;22;02;2023;2023-02-22;10:00;855142.356819;634452.9047;199018.4793;72065.7662;1760679.507019
2023-02-22T16:30:00+00:00;22;02;2023;2023-02-22;16:30;820454.697341;627882.7392;199944.4631;56023.8478;1704305.747441
2023-02-24T06:30:00+00:00;24;02;2023;2023-02-24;06:30;635886.827832;439381.7851;213865.1921;90514.9573;1379648.7623319998
2023-02-27T16:15:00+00:00;27;02;2023;2023-02-27;16:15;872869.750804;618477.3583;206828.0796;75824.0707;1773999.2594040001
2023-02-28T10:00:00+00:00;28;02;2023;2023-02-28;10:00;949307.642063;643040.5996;196104.8719;63680.3737;1852133.487263
2023-02-28T12:30:00+00:00;28;02;2023;2023-02-28;12:30;951784.505872;559347.9292;193907.5529;63101.5036;1768141.491572
2023-03-03T12:15:00+00:00;03;03;2023;2023-03-03;12:15;959389.345656;558526.4015;197229.3494;79362.8986;1794507.995156
2023-03-05T12:00:00+00:00;05;03;2023;2023-03-05;12:00;1061175.497059;305779.2216;189549.607;79095.9319;1635600.257559
2023-03-08T01:30:00+00:00;08;03;2023;2023-03-08;01:30;640385.332482;397463.8187;196167.5219;84823.8215;1318840.4945820002
2023-03-09T12:45:00+00:00;09;03;2023;2023-03-09;12:45;920132.981119;569037.343;191871.3812;84906.5565;1765948.261819
2023-03-13T01:30:00+00:00;13;03;2023;2023-03-13;01:30;549541.349683;297954.497;185764.435;85088.9618;1118349.243483
2023-03-13T05:45:00+00:00;13;03;2023;2023-03-13;05:45;506399.222137;325938.4374;185197.2343;92907.1091;1110442.002937
2023-03-13T21:00:00+00:00;13;03;2023;2023-03-13;21:00;1049869.683413;488706.7637;193133.7851;41472.7548;1773182.987013
2023-03-14T06:15:00+00:00;14;03;2023;2023-03-14;06:15;535597.300385;420469.7083;191112.09;74668.6483;1221847.746985
2023-03-14T20:45:00+00:00;14;03;2023;2023-03-14;20:45;1057134.876698;495476.4761;211572.106;53906.7835;1818090.2422979998
2023-03-15T06:45:00+00:00;15;03;2023;2023-03-15;06:45;543245.740719;446940.6673;217791.9593;62011.6265;1269989.993819
2023-03-16T04:30:00+00:00;16;03;2023;2023-03-16;04:30;488917.74296;380993.701;201492.8118;83506.5014;1154910.75716
2023-03-21T01:00:00+00:00;21;03;2023;2023-03-21;01:00;571895.431377;395575.4752;211790.6607;59265.6761;1238527.2433769999
2023-03-22T00:00:00+00:00;22;03;2023;2023-03-22;00:00;664433.445003;411758.5844;210763.5585;71148.9197;1358104.507603
2023-03-22T01:00:00+00:00;22;03;2023;2023-03-22;01:00;576668.161689;401358.8286;215016.5726;68498.4356;1261541.998489
2023-03-22T04:15:00+00:00;22;03;2023;2023-03-22;04:15;483725.765716;379172.5804;206432.0311;62025.6221;1131355.999316
2023-03-22T20:00:00+00:00;22;03;2023;2023-03-22;20:00;1085000.861046;519530.4529;215955.5899;62445.0977;1882932.001546
2023-03-22T23:45:00+00:00;22;03;2023;2023-03-22;23:45;691565.894545;417357.6759;204127.4524;69922.9867;1382974.009545
2023-03-23T02:45:00+00:00;23;03;2023;2023-03-23;02:45;507396.773331;385757.5505;201314.7073;68062.9719;1162532.003031
2023-03-25T02:15:00+00:00;25;03;2023;2023-03-25;02:15;540925.398057;352069.4383;207787.2878;63688.1287;1164470.252857
2023-03-25T22:15:00+00:00;25;03;2023;2023-03-25;22:15;833344.756358;307746.1326;201248.9923;64924.6196;1407264.5008580002
2023-03-25T23:30:00+00:00;25;03;2023;2023-03-25;23:30;714929.157999;289276.5612;197718.2726;78719.0069;1280642.9986989999
2023-03-26T00:00:00+00:00;26;03;2023;2023-03-26;00:00;671868.339396;280984.7183;199703.4493;76696.7428;1229253.2497959998
2023-03-28T01:30:00+01:00;28;03;2023;2023-03-28;01:30;530609.244377;392237.9529;216264.729;94948.3242;1234060.250477
2023-03-29T19:45:00+01:00;29;03;2023;2023-03-29;19:45;863593.086181;520525.1143;225594.3732;48844.9381;1658557.5117809998
