Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Viseu;Mortágua;Espinho;Sim;785;18;1808;180804;Sim
2024;9;2024-09;Coimbra;Montemor-o-Velho;Tentúgal;Sim;1009;06;0610;061011;Sim
2024;9;2024-09;Guarda;Almeida;Junça e Naves;Sim;207;09;0902;090233;Sim
2024;9;2024-09;Braga;Vila Nova de Famalicão;Brufe;Sim;912;03;0312;031206;Sim
2024;9;2024-09;Portalegre;Nisa;Montalvão;Sim;688;12;1212;121205;Sim
2024;9;2024-09;Viana do Castelo;Vila Nova de Cerveira;Mentrestido;Não;4;16;1610;161009;Sim
2024;9;2024-09;Portalegre;Sousel;Cano;Não;3;12;1215;121501;Sim
2024;9;2024-09;Castelo Branco;Castelo Branco;Salgueiro do Campo;Não;133;05;0502;050220;Sim
2024;9;2024-09;Aveiro;Santa Maria da Feira;Lobão, Gião, Louredo e Guisande;Não;44;01;0109;010934;Sim
2024;9;2024-09;Santarém;Cartaxo;Cartaxo e Vale da Pinta;Não;49;14;1406;140609;Sim
2024;9;2024-09;Portalegre;Sousel;Sousel;Não;10;12;1215;121504;Sim
2024;9;2024-09;Viana do Castelo;Viana do Castelo;Chafé;Não;2;16;1609;160940;Sim
2024;9;2024-09;Braga;Vieira do Minho;Anjos e Vilar do Chão;Não;2;03;0311;031123;Sim
2024;9;2024-09;Porto;Porto;Paranhos;Não;92;13;1312;131210;Sim
2024;9;2024-09;Viseu;Viseu;Abraveses;Sim;4706;18;1823;182301;Sim
2024;9;2024-09;Porto;Vila Nova de Gaia;Canidelo;Sim;15507;13;1317;131704;Sim
2024;9;2024-09;Braga;Barcelos;Perelhal;Sim;847;03;0302;030260;Sim
2024;9;2024-09;Braga;Cabeceiras de Basto;Gondiães e Vilar de Cunhas;Não;155;03;0304;030420;Sim
2024;9;2024-09;Braga;Vila Verde;Ponte;Sim;258;03;0313;031337;Sim
2024;9;2024-09;Braga;Barcelos;Várzea;Não;65;03;0302;030283;Sim
2024;9;2024-09;Porto;Amarante;Aboadela, Sanche e Várzea;Não;29;13;1301;130141;Sim
2024;9;2024-09;Viseu;Castro daire;Cujó;Sim;247;18;1803;180305;Sim
2024;9;2024-09;Leiria;Alcobaça;Évora de Alcobaça;Sim;2502;10;1001;100108;Sim
2024;9;2024-09;Porto;Vila Nova de Gaia;Vilar de Andorinho;Sim;8315;13;1317;131723;Sim
2024;9;2024-09;Viana do Castelo;Vila Nova de Cerveira;Cornes;Sim;269;16;1610;161003;Sim
2024;9;2024-09;Braga;Terras de Bouro;Valdosende;Sim;443;03;0310;031015;Sim
2024;9;2024-09;Beja;Serpa;Vila Verde de Ficalho;Sim;974;02;0213;021307;Sim
2024;9;2024-09;Bragança;Bragança;Nogueira;Sim;319;04;0402;040225;Sim
2024;9;2024-09;Bragança;Miranda do douro;Vila Chã de Braciosa;Sim;304;04;0406;040616;Sim
2024;9;2024-09;Castelo Branco;Fundão;Telhado;Não;1;05;0504;050427;Sim
2024;9;2024-09;Castelo Branco;Fundão;Castelo Novo;Não;6;05;0504;050413;Sim
2024;9;2024-09;Castelo Branco;Covilhã;Erada;Não;6;05;0503;050310;Sim
2024;9;2024-09;Porto;Paredes;Vilela;Não;10;13;1310;131024;Sim
2024;9;2024-09;Santarém;Entroncamento;Nossa Senhora de Fátima;Sim;7033;14;1410;141002;Sim
2024;9;2024-09;Porto;Marco de Canaveses;Paredes de Viadores e Manhuncelos;Sim;855;13;1307;130737;Sim
2024;9;2024-09;Faro;Portimão;Portimão;Não;650;08;0811;081103;Sim
2024;9;2024-09;Leiria;Figueiró dos Vinhos;Arega;Sim;774;10;1008;100802;Sim
2024;9;2024-09;Porto;Gondomar;Fânzeres e São Pedro da Cova;Não;1062;13;1304;130413;Sim
2024;9;2024-09;Viseu;Penedono;Póvoa de Penela;Sim;232;18;1812;181208;Sim
2024;9;2024-09;Guarda;Mêda;Rabaçal;Sim;226;09;0909;090914;Sim
2024;9;2024-09;Porto;Vila Nova de Gaia;Santa Marinha e São Pedro da Afurada;Não;33;13;1317;131730;Sim
2024;9;2024-09;Viana do Castelo;Ponte de Lima;Bárrio e Cepões;Sim;479;16;1607;160755;Sim
