;Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
0;2023-01-01T22:15:00+00:00;1;1;2023;2023-01-01;22:15;0.5660585056884027;0.32354930432544987;0.575481710202844;0.26405606439798407;0.5490829614530681
1;2023-01-02T12:30:00+00:00;2;1;2023;2023-01-02;12:30;0.5642275258953184;0.6345212388449245;0.6376811927195891;0.4284776541056272;0.6537301105745812
2;2023-01-03T12:45:00+00:00;3;1;2023;2023-01-03;12:45;0.5610095915121891;0.7295191135115683;0.7476590849579218;0.7199688466465447;0.7038158698326634
3;2023-01-03T15:30:00+00:00;3;1;2023;2023-01-03;15:30;0.5166701688522781;0.8422186188357824;0.7795990211179135;0.5801641303814151;0.7041887748477114
4;2023-01-04T05:45:00+00:00;4;1;2023;2023-01-04;05:45;0.3599746636224872;0.5224491657637536;0.7571919334632093;0.7785157692808047;0.5097495243225596
5;2023-01-05T17:00:00+00:00;5;1;2023;2023-01-05;17:00;0.5525499627526282;0.8813012019731822;0.797441301717211;0.3796402120834176;0.7329254278186612
6;2023-01-06T15:15:00+00:00;6;1;2023;2023-01-06;15:15;0.5703217038494879;0.8690631060940375;0.811773428403002;0.39265113884544023;0.7433530347740341
7;2023-01-07T04:30:00+00:00;7;1;2023;2023-01-07;04:30;0.37192462662579073;0.4583035173332686;0.7634005757334404;0.7374061789225805;0.49759353091397285
8;2023-01-09T07:00:00+00:00;9;1;2023;2023-01-09;07:00;0.39363997755295044;0.5576772651361985;0.7626920933964241;0.8705844446394165;0.5476766254304901
9;2023-01-09T12:30:00+00:00;9;1;2023;2023-01-09;12:30;0.5657893117099534;0.7976096058542448;0.7126925237722627;0.6795885092224706;0.7219457944170187
10;2023-01-10T16:45:00+00:00;10;1;2023;2023-01-10;16:45;0.5619407439501085;0.919674981046211;0.7540262129265105;0.41216752623494846;0.7477685740700384
11;2023-01-10T23:15:00+00:00;10;1;2023;2023-01-10;23:15;0.5510215541267481;0.591447555855972;0.7596414457224365;0.8046815872265513;0.6610605270499887
12;2023-01-11T09:15:00+00:00;11;1;2023;2023-01-11;09:15;0.524887116324179;0.9152887575992033;0.8092873627803395;0.8151344711415052;0.7449228082489161
13;2023-01-13T01:30:00+00:00;13;1;2023;2023-01-13;01:30;0.39849509989188897;0.5458127000867933;0.7979286027226931;0.7616345932149383;0.5461151687144566
14;2023-01-14T09:00:00+00:00;14;1;2023;2023-01-14;09:00;0.46679253727628506;0.5263618008632259;0.7468492466609857;0.7344442452492937;0.5802625356339262
15;2023-01-16T18:00:00+00:00;16;1;2023;2023-01-16;18:00;0.680789301841598;0.828691248454902;0.8784852051813135;0.4378408696780473;0.8149232604045774
16;2023-01-17T06:30:00+00:00;17;1;2023;2023-01-17;06:30;0.38942127887357064;0.5996977917104648;0.8345438643301173;0.8024119762002528;0.561460722518162
17;2023-01-17T10:30:00+00:00;17;1;2023;2023-01-17;10:30;0.5910118767179094;0.930573869014714;0.7814600319840297;0.7953943212366454;0.7905760101539308
18;2023-01-18T15:00:00+00:00;18;1;2023;2023-01-18;15:00;0.5967211197647205;0.9047465641392506;0.8528952489218717;0.8092330881682438;0.7945716834936606
19;2023-01-19T09:45:00+00:00;19;1;2023;2023-01-19;09:45;0.6164107230856252;0.9604524999749858;0.8629110162756218;0.8822584070769365;0.8287116640548441
20;2023-01-19T20:45:00+00:00;19;1;2023;2023-01-19;20:45;0.8560848540741625;0.7011056284549435;0.8510651597839307;0.38622449880996884;0.8907443465072563
21;2023-01-20T10:45:00+00:00;20;1;2023;2023-01-20;10:45;0.6012216983068266;0.9154098472523999;0.8441491764484752;0.7933958425467643;0.799199046318387
22;2023-01-20T11:00:00+00:00;20;1;2023;2023-01-20;11:00;0.6046460269696468;0.914154834490167;0.83319163406209;0.8081752845433606;0.8007060742461501
23;2023-01-21T03:00:00+00:00;21;1;2023;2023-01-21;03:00;0.37866903076396646;0.47190406786566025;0.7867497332323123;0.7316456296122594;0.5082865937758494
24;2023-01-21T12:30:00+00:00;21;1;2023;2023-01-21;12:30;0.5830683755408879;0.4711621169657505;0.7338678998684798;0.8079482609356966;0.6446273216364166
25;2023-01-21T14:45:00+00:00;21;1;2023;2023-01-21;14:45;0.5300519196445251;0.4522859973051002;0.7585563882016849;0.8106409713837425;0.6057110782402915
26;2023-01-23T00:30:00+00:00;23;1;2023;2023-01-23;00:30;0.46798345333112834;0.4145170941217262;0.7882973328980466;0.7886597590074075;0.5544606523075042
